FALSE,item,region,area,location ,time (24hr)
1-5,,,,,
FALSE,windlight seeds,gridania,central shroud,bentbranch,
FALSE,latex,gridania,central shroud,jadeite thick,
FALSE,ice shard,gridania,central shroud,jadeite thick,
FALSE,wind shard,gridania,central shroud,jadeite thick,
FALSE,allagan snail,gridania,central shroud,jadeite thick ,
FALSE,maple log,gridania,central shroud,jadeite thick ,
FALSE,maple branch,gridania,central shroud,jadeite thick ,
FALSE,earth shard,gridania,north shroud,treespeak ,
FALSE,maple sap !,gridania,north shroud,treespeak ,
FALSE,cinnamon,gridania,north shroud,treespeak ,
FALSE,beehive chip,gridania,north shroud,treespeak ,
FALSE,water shard,limsa lominsa,eastern la noscea,bloodshore,
FALSE,earthlight seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,firelight seeds,limsa lominsa,middle la noscea,summerford,
FALSE,fire shard,limsa lominsa,middle la noscea,three malm bend,
FALSE,icelight seeds,limsa lominsa,western la noscea,quarterstone,
FALSE,lightning shard,mor dhona,mor dhona,the tangle,
FALSE,levinlight seeds,ul'dah,central thanalan,the clutch,
FALSE,waterlight seeds,ul'dah,western thanalan,horizon's edge,
6-10,,,,,
FALSE,tinolqa mistletoe,gridania,central shroud,greentear,
FALSE,ash log,gridania,central shroud,greentear,
FALSE,ash branch,gridania,central shroud,greentear,
FALSE,crow feather !,gridania,central shroud,greentear,
FALSE,la noscea orange,limsa lominsa,lower la noscea,cedarwood,
FALSE,la noscea orange seeds,limsa lominsa,lower la noscea,cedarwood,
FALSE,kukuru beans,limsa lominsa,lower la noscea,cedarwood,
FALSE,cock feather,ul'dah,central thanalan,spineless basin,
FALSE,cloves,ul'dah,central thanalan,spineless basin,
11-15,,,,,
FALSE,elm log,gridania,central shroud,bentbranch,
FALSE,gridanian chestnut,gridania,central shroud,bentbranch,
FALSE,chanterelle,gridania,central shroud,bentbranch,
FALSE,tree toad,gridania,central shroud,bentbranch,
FALSE,buffalo beans,gridania,central shroud,bentbranch,
FALSE,lavender,gridania,central shroud,bentbranch,
FALSE,lavender seeds,gridania,central shroud,bentbranch,
FALSE,humus,gridania,central shroud,bentbranch,
FALSE,carnation,gridania,central shroud,bentbranch,
FALSE,cotton boll,gridania,central shroud,bentbranch,
FALSE,marjoram !,gridania,central shroud,bentbranch,
FALSE,lowland grapes,limsa lominsa,lower la noscea,moraby bay,
FALSE,lowland grape seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,cinderfoot olive,limsa lominsa,lower la noscea,moraby bay,
FALSE,olive seeds,limsa lominsa,lower la noscea,moraby bay,
FALSE,cieldalaes spinach,limsa lominsa,lower la noscea,moraby bay,
FALSE,highland parsley,limsa lominsa,lower la noscea,moraby bay,
FALSE,ruby tomato,limsa lominsa,middle la noscea,summerford,
FALSE,sunset wheat,limsa lominsa,middle la noscea ,summerford,
FALSE,straw,limsa lominsa,middle la noscea ,summerford,
FALSE,la noscean lettuce,limsa lominsa,middle la noscea ,summerford,
FALSE,la noscean lettuce seeds,limsa lominsa,middle la noscea ,summerford,
FALSE,yellow ginseng,ul'dah,central thanalan,the clutch,
FALSE,black pepper,ul'dah,central thanalan,the clutch,
FALSE,black pepper seeds,ul'dah,central thanalan,the clutch,
FALSE,alpine parsnip,ul'dah,central thanalan,the clutch,
FALSE,rye,ul'dah,western thanalan,horizon's edge,
FALSE,moko grass,ul'dah,western thanalan,horizon's edge,
FALSE,grass viper,ul'dah,western thanalan,horizon's edge,
FALSE,coerthan carrot,ul'dah,western thanalan,horizon's edge,
FALSE,coerthan carrot seeds,ul'dah,western thanalan,horizon's edge,
FALSE,garlean garlic,ul'dah,western thanalan,nophica's wells,
FALSE,garlic cloves,ul'dah,western thanalan,nophica's wells,
FALSE,wild onion,ul'dah,western thanalan,nophica's wells,
FALSE,wild onion set,ul'dah,western thanalan,nophica's wells,
FALSE,ogre pumpkin,ul'dah,western thanalan,nophica's wells,
16-20,,,,,
FALSE,faerie apple,gridania,east shroud,nine ivies,
FALSE,faerie apple seeds,gridania,east shroud,nine ivies,
FALSE,yew log,gridania,east shroud,nine ivies,
FALSE,yew branch,gridania,east shroud,nine ivies,
FALSE,galago mint,gridania,east shroud,nine ivies,
FALSE,belladonna,gridania,east shroud,nine ivies,
FALSE,gil bun,gridania,east shroud,nine ivies,
FALSE,shroud seedling,gridania,east shroud,nine ivies,
FALSE,sun lemon,limsa lominsa,lower la noscea,cedarwood,
FALSE,sun lemon seeds,limsa lominsa,lower la noscea,cedarwood,
FALSE,paprika,limsa lominsa,western la noscea,quarterstone,
FALSE,paprika seeds,limsa lominsa,western la noscea,quarterstone,
FALSE,lalafellin lentil,limsa lominsa,western la noscea,quarterstone,
FALSE,island seedling,limsa lominsa,western la noscea,quarterstone,
FALSE,grade 1 carbonized matter !,limsa lominsa,western la noscea,skull valley,
FALSE,nopales,ul'dah,central thanalan,black brush,
FALSE,popoto,ul'dah,eastern thanalan,sandgate,
FALSE,popoto set,ul'dah,eastern thanalan,sandgate,
FALSE,desert seedling,ul'dah,eastern thanalan,sandgate,
FALSE,white scorpion,ul'dah,eastern thanalan,sandgate,
21-25,,,,,
FALSE,gridanian walnut,gridania,south shroud,upper paths,
FALSE,matron's mistletoe,gridania,south shroud,upper paths,
FALSE,walnut log,gridania,south shroud,upper paths,
FALSE,chamomile !,limsa lominsa,upper la noscea,oakwood,
FALSE,chamomile seeds,limsa lominsa,upper la noscea,oakwood,
FALSE,noble grapes,limsa lominsa,upper la noscea,oakwood,
FALSE,pixie plum seeds,limsa lominsa,upper la noscea,oakwood,
FALSE,pixie plums,limsa lominsa,upper la noscea,oakwood,
FALSE,sticky rice,limsa lominsa,upper la noscea,oakwood,
FALSE,ala mhigan mustard,ul'dah,eastern thanalan,drybone,
FALSE,ala mhigan mustard seeds,ul'dah,eastern thanalan,drybone,
FALSE,button mushroom,ul'dah,eastern thanalan,drybone,
FALSE,millioncorn,ul'dah,eastern thanalan,drybone,
FALSE,millioncorn seeds,ul'dah,eastern thanalan,drybone,
FALSE,pearl ginger,ul'dah,eastern thanalan,drybone,
FALSE,pearl ginger root,ul'dah,eastern thanalan,drybone,
26-30,,,,,
FALSE,wind crystal,gridania,central shroud,bentbranch,
FALSE,green pigment,gridania,central shroud,bentbranch,
FALSE,jade peas,gridania,north shroud,alder springs,
FALSE,wizard eggplant,gridania,north shroud,alder springs,
FALSE,wizard eggplant,gridania,north shroud,alder springs,
FALSE,midland cabbage,gridania,north shroud,alder springs,
FALSE,midland cabbage,gridania,north shroud,alder springs,
FALSE,moor leech,gridania,north shroud,alder springs,
FALSE,earth crystal,gridania,north shroud,peacegarden,
FALSE,yellow pigment,gridania,north shroud,peacegarden,
FALSE,brown pigment,gridania,north shroud,peacegarden,
FALSE,chocobo feather,gridania,south shroud,silent arbor,
FALSE,alligator pear !,gridania,south shroud,silent arbor,
FALSE,ice crystal,gridania,south shroud,upper paths,
FALSE,grey pigment,gridania,south shroud,upper paths,
FALSE,water crystal,limsa lominsa,eastern la noscea,bloodshore,
FALSE,blue pigment,limsa lominsa,eastern la noscea,bloodshore,
FALSE,fire crystal,limsa lominsa,middle la noscea,three malm bend,
FALSE,red pigment,limsa lominsa,middle la noscea,three malm bend,
FALSE,lightning crystal,ul'dah,central thanalan,spineless basin,
FALSE,purple pigment,ul'dah,central thanalan,spineless basin,
31-35,,,,,
FALSE,oak branch,gridania,south shroud,lower paths,
FALSE,oak log,gridania,south shroud,lower paths,
FALSE,tarantula,gridania,south shroud,lower paths,
FALSE,flax,gridania,south shroud,lower paths,
FALSE,linseed,gridania,south shroud,lower paths,
FALSE,white truffle,gridania,south shroud,lower paths,
FALSE,wildfowl feather,gridania,south shroud,lower paths,
FALSE,midland basil,limsa lominsa,eastern la noscea,bloodshore,
FALSE,midland basil seeds,limsa lominsa,eastern la noscea,bloodshore,
FALSE,mandrake,limsa lominsa,eastern la noscea,bloodshore,
FALSE,mandrake seeds,limsa lominsa,eastern la noscea,bloodshore,
FALSE,salt leek,limsa lominsa,eastern la noscea,bloodshore,
FALSE,dragon pepper,limsa lominsa,eastern la noscea,bloodshore,
FALSE,yafaemi wildgrass,ul'dah,southern thanalan,broken water,
FALSE,aloe,ul'dah,southern thanalan,broken water,
FALSE,bloodgrass,ul'dah,southern thanalan,broken water,
FALSE,laurel !,ul'dah,southern thanalan,broken water,
FALSE,desert saffron,ul'dah,southern thanalan,broken water,
36-40,,,,,
FALSE,blood currants,gridania,south shroud,lower paths,
FALSE,blood currants seeds,gridania,south shroud,lower paths,
FALSE,thyme,gridania,south shroud,lower paths,
FALSE,iron acorn,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,mahogany log,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,nutmeg,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,almonds,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,almond seeds,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,mugwort,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,maiden artichoke,limsa lominsa,eastern la noscea,raincatcher gully,
FALSE,ramhorn zucchini !,limsa lominsa,eastern la noscea,raincatcher gully,
41-45,,,,,
FALSE,mirror apple,coerthas,coerthas central highlands,whitebrim,
FALSE,mirror apple seeds,coerthas,coerthas central highlands,whitebrim,
FALSE,mistletoe !,coerthas,coerthas central highlands,whitebrim,
FALSE,sagolii sage,limsa lominsa,upper la noscea,bronze lake,
FALSE,black scorpion,limsa lominsa,upper la noscea,bronze lake,
FALSE,rolanberry,limsa lominsa,upper la noscea,bronze lake,
FALSE,rolanberry,limsa lominsa,upper la noscea,bronze lake,
FALSE,dart frog,limsa lominsa,upper la noscea,bronze lake,
46-50,,,,,
FALSE,spruce log ,coerthas,coerthas central highlands,providence point,0900-1200
FALSE,thavnairian mistletoe,coerthas,coerthas central highlands,whitebrim,1700-2000
FALSE,vampire plant,coerthas,coerthas central highlands,whitebrim,1300-1600
FALSE,wind cluster,coerthas,coerthas western highlands,red rim,0000-0400
FALSE,cedar log,coerthas,coerthas western highlands,riversmeet,
FALSE,cedar branch,coerthas,coerthas western highlands,riversmeet,
FALSE,earth cluster,dravania,the dravanian forelands,avalonia fallen,0800-1200
FALSE,old world fig,dravania,the dravanian forelands,chocobo forest,"0200-0400, 1400-1600"
FALSE,old world fig seeds,dravania,the dravanian forelands,chocobo forest,"0200-0400, 1400-1600"
FALSE,cypress log,gridania,central shroud,bentbranch,1000-1300
FALSE,redolent log,gridania,central shroud,greentear,0600-0900
FALSE,shroud tea leaves,gridania,central shroud,sorrel haven,0200-0500
FALSE,silkworm cocoon,gridania,east shroud,nine ivies,0100-0400
FALSE,rosemary,gridania,east shroud,nine ivies,1700-2000
FALSE,rosewood log,gridania,east shroud,the bramble patch,
FALSE,rosewood branch,gridania,east shroud,the bramble patch,
FALSE,trillium,gridania,east shroud,the bramble patch,0500-0800
FALSE,trillium bulb,gridania,east shroud,the honey yard,2100-0000
FALSE,kidragora,gridania,east shroud,the honey yard,
FALSE,scarlet sap,gridania,north shroud,alder springs,0300-0600
FALSE,fragrant log,gridania,south shroud,upper paths,
FALSE,prickly pineapple,limsa lominsa,eastern la noscea,bloodshore,0900-1200
FALSE,prickly pineapple seeds,limsa lominsa,eastern la noscea,bloodshore,
FALSE,dzemael tomato,limsa lominsa,eastern la noscea,raincatcher gully,1300-1600
FALSE,dzemael tomato seeds,limsa lominsa,eastern la noscea,raincatcher gully,1300-1600
FALSE,honey lemon,limsa lominsa,eastern la noscea,bloodshore,0500-0800
FALSE,honey lemon seeds,limsa lominsa,eastern la noscea,bloodshore,0500-0800
FALSE,young cieldalaes spinach,limsa lominsa,lower la noscea,cedarwood,
FALSE,blood orange,limsa lominsa,upper la noscea,bronze lake,0700-1000
FALSE,bamboo stick,limsa lominsa,upper la noscea,bronze lake,0700-1000
FALSE,apricot,limsa lominsa,middle la noscea,summerford,0900-1200
FALSE,ebony log,limsa lominsa,middle la noscea,zephyr drift,0400-0700
FALSE,mazlaya greens,limsa lominsa,western la noscea,quarterstone,0800-1100
FALSE,la noscean leek,limsa lominsa,western la noscea,quarterstone,0800-1100
FALSE,waterfowl feather,limsa lominsa,western la noscea,quarterstone,0800-1100
FALSE,fire cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,ice cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,wind cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,earth cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,lightning cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,water cluster,mor dhona,mor dhona,north silvertear,"0100-0400, 0500-0800, 0900-1200"
FALSE,ice cluster,norvrandt,kholusia,tomra,2000-0000
FALSE,black truffle,ul'dah,eastern thanalan,drybone,
FALSE,thanalan tea leaves,ul'dah,southern thanalan,sagolii desert,
FALSE,lava toad,ul'dah,southern thanalan,sagolii desert,
FALSE,maiden grass,ul'dah,southern thanalan,sagolii desert,
FALSE,unaspected crystal,,,,
FALSE,dark matter cluster,,,,
51-55,,,,,
FALSE,pearl sprouts,coerthas,coerthas western highlands,riversmeet,"1000-1200, 2200-0000"
FALSE,pearl sprout seeds,coerthas,coerthas western highlands,riversmeet,"1000-1200, 2200-0000"
FALSE,coerthan tea leaves,coerthas,coerthas western highlands,riversmeet,"1000-1200, 2200-0000"
FALSE,coerthan tea seeds,coerthas,coerthas western highlands,riversmeet,"1000-1200, 2200-0000"
FALSE,chives,coerthas,coerthas western highlands,riversmeet,"1000-1200, 2200-0000"
FALSE,rainbow cotton boll,coerthas,coerthas western highlands,twinpools,
FALSE,mist dill,coerthas,coerthas western highlands,twinpools,
FALSE,magma beet,dravania,the churning mists,landlord colony,
FALSE,emerald beans,dravania,the churning mists,landlord colony,
FALSE,porcini,dravania,the churning mists,ohl tahn,"0000-0200, 1200-1400"
FALSE,dravanian mistletoe,dravania,the churning mists,ohl tahn,"0000-0200, 1200-1401"
FALSE,cyclops onion,dravania,the dravanian forelands,chocobo forest,
FALSE,highland wheat,dravania,the dravanian forelands,chocobo forest,
FALSE,stalk of ramie,dravania,the dravanian forelands,chocobo forest,
FALSE,dark chestnut log,dravania,the dravanian forelands,the smoldering wastes,
FALSE,dark chestnut,dravania,the dravanian forelands,the smoldering wastes,
FALSE,dark chestnut branch,dravania,the dravanian forelands,the smoldering wastes,
56-60,,,,,
FALSE,sesame seeds,abalathia's spine,the sea of clouds,the blue window,
FALSE,periwinkle,abalathia's spine,the sea of clouds,the blue window,
FALSE,glass eye,abalathia's spine,the sea of clouds,the blue window,
FALSE,wind widow,abalathia's spine,the sea of clouds,voor sian siran,
FALSE,birch log,abalathia's spine,the sea of clouds,voor sian siran,
FALSE,birch branch,abalathia's spine,the sea of clouds,voor sian siran,
FALSE,birch sap,abalathia's spine,the sea of clouds,voor sian siran,
FALSE,cloud mushroom,abalathia's spine,the sea of clouds,voor sian siran,
FALSE,heaven's lemon,abalathia's spine,the sea of clouds,vundu ok' bendu,"0600-0800, 1800-2000"
FALSE,abalathian mistletoe,abalathia's spine,the sea of clouds,vundu ok' bendu,"0600-0800, 1800-2000"
FALSE,highland oregano,coerthas,coerthas western highlands,red rim,
FALSE,pot marjoram,coerthas,coerthas western highlands,red rim,
FALSE,furymint,coerthas,coerthas western highlands,red rim,
FALSE,water mint,coerthas,coerthas western highlands,red rim,
FALSE,clary sage,coerthas,coerthas western highlands,red rim,
FALSE,wild sage,coerthas,coerthas western highlands,red rim,
FALSE,lover's laurel,coerthas,coerthas western highlands,red rim,
FALSE,ice stalagmite,coerthas,coerthas western highlands,twinpools,
FALSE,rue,coerthas,coerthas western highlands,twinpools,
FALSE,coriander,coerthas,coerthas western highlands,twinpools,
FALSE,chysahl greens,coerthas,coerthas western highlands,twinpools,"0800-1000, 2000-2200"
FALSE,whitefrost cotton boll,coerthas,coerthas western highlands,twinpools,
FALSE,camphorwood log,dravania,the churning mists,eil tohm,"0600-0800, 1800-2000"
FALSE,camphorwood branch,dravania,the churning mists,eil tohm,
FALSE,duskfall moss,dravania,the churning mists,four arms,
FALSE,dandelion,dravania,the churning mists,four arms,
FALSE,granular clay,dravania,the dravanian forelands,avalonia fallen,
FALSE,coneflower,dravania,the dravanian forelands,avalonia fallen,
FALSE,peat moss,dravania,the dravanian forelands,avalonia fallen,
FALSE,black soil,dravania,the dravanian forelands,avalonia fallen,0800-1200
FALSE,humic soil,dravania,the dravanian forelands,avalonia fallen,
FALSE,rainbow pigment,dravania,the dravanian forelands,avalonia fallen,
FALSE,cow bitter,dravania,the dravanian hinterlands,the answering quarter,
FALSE,dated radz-at-han coin,dravania,the dravanian hinterlands,the answering quarter,
FALSE,gaelicatnip,dravania,the dravanian hinterlands,the answering quarter,
FALSE,cloud banana,dravania,the dravanian hinterlands,the ruling quarter,"0400-0600, 1600-1800"
FALSE,morel,dravania,the dravanian hinterlands,the ruling quarter,"0400-0600, 1600-1800"
FALSE,starcrack sand,gyr abania,the fringes,east end,
FALSE,cotter dynasty relic,gyr abania,the fringes,east end,
FALSE,gyr abanian wheat,gyr abania,the fringes,east end,
FALSE,bloodhemp,gyr abania,the fringes,east end,
FALSE,peaks pigment,gyr abania,the peaks,the last forest,
FALSE,yuellow kudzu root,gyr abania,the peaks,the last forest,
FALSE,shishu koban,othard,the ruby sea,the isle of bekko,
61-65,,,,,
FALSE,phial of thermal fluid,coerthas,coerthas western highlands,gorgagne holding,
FALSE,cloudkin feather,dravania,the churning mists,ohl tahn,
FALSE,harpoon head,gyr abania,the fringes,dimwold,
FALSE,holy basil,gyr abania,the fringes,dimwold,
FALSE,kudzu root,gyr abania,the fringes,dimwold,
FALSE,kudzu vine,gyr abania,the fringes,dimwold,
FALSE,loquat,gyr abania,the fringes,east end,
FALSE,beech log,gyr abania,the fringes,east end,
FALSE,beech cranch,gyr abania,the fringes,east end,
FALSE,pinch of active ingredients,gyr abania,the peaks,the last forest,
FALSE,mountain popoto,gyr abania,the peaks,the last forest,
FALSE,buckwheat kernels,gyr abania,the peaks,the last forest,
FALSE,sugar beet,gyr abania,the peaks,the last forest,
FALSE,green leek,gyr abania,the peaks,the last forest,
FALSE,soybeans,othard,the ruby sea,east othard coastline,
FALSE,cumin seeds,othard,the ruby sea,east othard coastline,
FALSE,larch log,othard,the ruby sea,onokoro,
FALSE,sparkstone,othard,the ruby sea,onokoro,
FALSE,shiitake mushroom,othard,the ruby sea,onokoro,
FALSE,gem algae,othard,the ruby sea,rasen kaikyo,
FALSE,ruby cotton boll,othard,the ruby sea,rasen kaikyo,
FALSE,ama nori,othard,the ruby sea,rasen kaikyo,
FALSE,shisui jewel,othard,the ruby sea,rasen kaikyo,
FALSE,bamboo shoot,othard,yanxia,the glittering basin,"1000-1200, 2200-0000"
FALSE,pine resin,othard,yanxia,the heron's flight,
FALSE,pine log,othard,yanxia,the heron's flight,
FALSE,malleable still material,othard,yanxia,the heron's flight,
66-70,,,,,
FALSE,persimmon leaf,gyr abania,the fringes,dimwold,
FALSE,persimmon,gyr abania,the fringes,dimwold,
FALSE,persimmon log,gyr abania,the fringes,dimwold,
FALSE,sturdy vat material,gyr abania,the fringes,dimwold,
FALSE,hard place furnishing materials,gyr abania,the lochs,abalathia's skull,
FALSE,zelkova log,gyr abania,the lochs,abalathia's skull,
FALSE,jhammel ginger,gyr abania,the lochs,abalathia's skull,"0400-0600, 1600-1800"
FALSE,torreya branch,gyr abania,the lochs,the queen's gardens,0400-0800
FALSE,yanxian verbena,gyr abania,the lochs,the queen's gardens,0400-0800
FALSE,alyssum,gyr abania,the peaks,mount yorn,
FALSE,twincoon,gyr abania,the peaks,mount yorn,
FALSE,gyr abanian carrot,gyr abania,the peaks,mount yorn,
FALSE,hallowed basil,gyr abania,the peaks,rustrock,"0600-1000, 1800-2200"
FALSE,amh araeng seasonings ,norvrandt,amh araeng,snitch,
FALSE,animal trace,norvrandt,amh araeng,snitch,
FALSE,airship fitting components,norvrandt,amh araeng,snitch,
FALSE,night pepper,norvrandt,amh araeng,snitch,
FALSE,clinquant stones,norvrandt,il mheg,thysm lran,
FALSE,raven coal,norvrandt,kholusia,stonegazer,
FALSE,kholusian miscellany,norvrandt,kholusia,stonegazer,
FALSE,sun cabbage,othard,the azim steppe,nhaama's retreat,
FALSE,fennel,othard,the azim steppe,nhaama's retreat,
FALSE,doman yellow,othard,the azim steppe,nhaama's retreat,0800-1000
FALSE,strong steppe spice,othard,the azim steppe,nhaama's retreat,
FALSE,chickweed,othard,the azim steppe,nhaama's retreat,
FALSE,nipplewort,othard,the azim steppe,nhaama's retreat,
FALSE,othardian plum,othard,the azim steppe,onsal hakair,"0200-0600, 1400-1800"
FALSE,ruby tide kelp,othard,the ruby sea,rasen kaikyo,
FALSE,daikon radish,othard,yanxia,doma,
FALSE,yanxian parsley,othard,yanxia,doma,
FALSE,nagxian cudweed,othard,yanxia,doma,
FALSE,doman eggplant,othard,yanxia,doma,
FALSE,windtea leaves,othard,yanxia,the glittering basin,1600-2000
FALSE,countess tea leaves,othard,yanxia,the glittering basin,1600-2000
FALSE,yanxian verbena ,othard,yanxia,the glittering basin,1600-2000
FALSE,lotus root,othard,yanxia,valley of the fallen rainbow,"0800-1000, 2000-2200"
71-75,,,,,
FALSE,medical supply materials,abalathia's spine,the sea of clouds,the nidifice,
FALSE,crafting tool paraphernalia,abalathia's spine,the sea of clouds,the nidifice,
FALSE,gathering tool paraphernalia,dravania,the dravanian hinterlands,quickspell delta,
FALSE,weaving paraphernalia,dravania,the dravanian hinterlands,the hundred throes,
FALSE,patient necessity materials,dravania,the dravanian hinterlands,the maker's quarter,
FALSE,rehabilitation aid materials,gyr abania,the fringes,virdjala,
FALSE,handpicked ingredients,gyr abania,the peaks,hidden tear,
FALSE,high tea ingredients,gyr abania,the peaks,hidden tear,
FALSE,broad beans,norvrandt,il mheg,phisor lran,
FALSE,pixie apple,norvrandt,il mheg,the church at dammroen field,
FALSE,miracle apple log,norvrandt,il mheg,the church at dammroen field,
FALSE,curly parsley,norvrandt,il mheg,the woolen way,
FALSE,blood tomato,norvrandt,il mheg,the woolen way,
FALSE,garden beet,norvrandt,il mheg,the woolen way,
FALSE,iridescent cocoon,norvrandt,il mheg,the woolen way,
FALSE,megafauna leftovers,norvrandt,il mheg,the woolen way,
FALSE,upland wheat,norvrandt,kholusia,seagazer,
FALSE,white oak log,norvrandt,kholusia,the bright cliff,
FALSE,white oak branch,norvrandt,kholusia,the bright cliff,
FALSE,peppermint,norvrandt,lakeland,embrasure,
FALSE,frantoio,norvrandt,lakeland,the chiliad,
FALSE,purple carrot,norvrandt,lakeland,the forest of the lost sheperd,
FALSE,bright flax,norvrandt,lakeland,the forest of the lost sheperd,
FALSE,animal droppings,norvrandt,lakeland,the forest of the lost sheperd,
FALSE,pixie floss boll,norvrandt,the rak'tika greatwood,the deliberating doll,
FALSE,royal grapes,norvrandt,the rak'tika greatwood,the deliberating doll,
FALSE,creamtop mushroom,norvrandt,the rak'tika greatwood,the deliberating doll,
FALSE,white ash log,norvrandt,the rak'tika greatwood,woven oath,
FALSE,gianthive chip,norvrandt,the rak'tika greatwood,woven oath,
FALSE,printing paraphernalia,othard,yanxia,yuzuka manor,
76-80,,,,,
FALSE,amber cloves,norvrandt,amh araeng,ladle,
FALSE,sandteak log,norvrandt,amh araeng,ladle,
FALSE,russet popoto,norvrandt,amh araeng,the dragging tail,"0800-1000, 2000-2200"
FALSE,bomba rice,norvrandt,kholusia,scree,
FALSE,coffee beans,norvrandt,kholusia,scree,
FALSE,dwarven cotton boll,norvrandt,kholusia,scree,
FALSE,lemonette,norvrandt,kholusia,sharptongue drip,"0600-0800, 1800-2000"
FALSE,white clay,norvrandt,kholusia,tomra,
FALSE,harcot,norvrandt,lakeland,hare among giants,
FALSE,lignum vitae log,norvrandt,lakeland,hare among giants,
FALSE,bog sage,norvrandt,lakeland,the bridges,
FALSE,levin mint,norvrandt,lakeland,the bridges,
FALSE,lime basil,norvrandt,lakeland,weed,
FALSE,tiger lily,norvrandt,lakeland,weed,
FALSE,light gerbena,norvrandt,lakeland,weed,
FALSE,mist spinach,norvrandt,the rak'tika greatwood,bowrest,"0000-0200, 1200-1400"
FALSE,sweet marjoram,norvrandt,the rak'tika greatwood,the k'mul astropolis,
FALSE,sweet alyssum,norvrandt,the rak'tika greatwood,the wild fete,
FALSE,fernleaf lavender,norvrandt,the rak'tika greatwood,the wild fete,
FALSE,megafauna trace,norvrandt,the rak'tika greatwood,the wild fete,
FALSE,art supply materials,othard,the azim steppe,onsal hakair,
81-85,,,,,
FALSE,luncheon coffer materials,ilsabard,garlemald,camp broken glass,
FALSE,garlean staple,ilsabard,garlemald,camp broken glass,
FALSE,red pine log,ilsabard,garlemald,camp broken glass,
FALSE,cucumber,ilsabard,garlemald,liminal station IV,
FALSE,eblan lentils,ilsabard,garlemald,liminal station IV,
FALSE,beet,ilsabard,garlemald,liminal station IV,
FALSE,snow flax,ilsabard,garlemald,liminal station IV,
FALSE,aetheroconductive focus materials,ilsabard,thavnair,giantsgall grounds,
FALSE,hannish staple,ilsabard,thavnair,giantsgall grounds,
FALSE,thavnairian paprika,ilsabard,thavnair,giantsgall grounds,
FALSE,thavnairian perilla leaf,ilsabard,thavnair,giantsgall grounds,
FALSE,coconut,ilsabard,thavnair,the great work,
FALSE,palm syrup,ilsabard,thavnair,the great work,
FALSE,palm log,ilsabard,thavnair,the great work,
FALSE,school supply materials,ilsabard,thavnair,the great work,
FALSE,iceberg lettuce,the northern empty,labyrinthos,meryall agronomics,
FALSE,dark rye,the northern empty,labyrinthos,meryall agronomics,
FALSE,dark hemp,the northern empty,labyrinthos,meryall agronomics,
FALSE,aetheroconductive feather,the northern empty,labyrinthos,meryall agronomics,
FALSE,horse chestnut log,the northern empty,labyrinthos,the phreatic conduit,
FALSE,aetheroconductive mammet materials,the northern empty,labyrinthos,the phreatic conduit,
FALSE,carrot of happiness,the sea of stars,mare lamentorum,heimdall's last sight,
FALSE,lunar staple,the sea of stars,mare lamentorum,heimdall's last sight,
86-90,,,,,
FALSE,palm chippings,ilsabard,thavnair,pavana's remorse,1200-1600
FALSE,ewer clay,the northern empty,labyrinthos,logistikon gamma,0800-1200
FALSE,integral log,the sea of stars,ultima thule,ahm nohl,
FALSE,ar-caean cotton boll,the sea of stars,ultima thule,reah tahra ,
FALSE,alien onion,the sea of stars,ultima thule,reah tahra ,
FALSE,scarlet moko grass,the world unsundered,elpis,anagnorisis,
FALSE,giant popoto,the world unsundered,elpis,anagnorisis,
FALSE,sideritis leaves,the world unsundered,elpis,anagnorisis,
FALSE,elpis staple,the world unsundered,elpis,anagnorisis,
FALSE,ironwood log,the world unsundered,elpis,southerly zephyrneus,
FALSE,sykon,the world unsundered,elpis,southerly zephyrneus,
FALSE,elder nutmeg seeds,the world unsundered,elpis,southerly zephyrneus,
Congrats! You're done!,,,,,
~at least with this part~,,,,,
"Good luck, have fun, don't die!",,,,,